65,clintzoned, Sayang talaga. Di ko narinig magmura si Du30. #DuterteVisitsUPLB,,,,
66,grxcebc___, #DuterteVisitsUPLB,,,,
67,maryrainman, Nakita ko si Mayor Duterte kanina :))))))))))#DuterteVisitsUPLB,,,,
68,jacquesLB, Let's make memories! #FlashbackFriday #Beernes Pagusapan na din natin yung #DuterteVisitsUPLB :) https://t.co/g5N5degrgw,,,,
69,LorieZulueta, #DuterteVisitsUPLB kabataan pag-asa ng bayan. k #Duterte nyo lang makikita d real hope, like #father who cares 4 ur future #tataydigong,,,
70,eyesbeybe, #DuterteVisitsUPLB https://t.co/dxZwgJlyEO,,,,
71,noraiturn, @JENericdrug I admit kulang sya sa focus sa plataporma sa lahat ng speech nya but it has never been his style. #DuterteVisitsUPLB,,,,
72,rawisevil, Nasa LB pala si idol kanina! #DuterteVisitsUPLB #PHVoteDuterte,,,,
73,rawisevil, #DuterteVisitsUPLB #PHVoteDuterte,,,,
74,merilla2010, we are just one par of dutertes strength..!#DuterteVisitsUPLB  https://t.co/815QHVLwi2,,,,
75,Seth_ings, #DuterteVisitsUPLB https://t.co/2VeTYSSYSr,,,,
76,myraabbron, andami pang bakanteng upuan sa loob di niyo man lang kami pinapasok!!! #DuterteVisitsUPLB  https://t.co/IcMbUMMg1W,,,,
77,choobsonfire, Saved ourselves from the long ass queue. Nakapasok din naman #DuterteVisitsUPLB next #MiriamVisitsUPLB https://t.co/i3XsxjaFbr,,,,
78,annlessss, Some Davao Del Norte officials go for Duterte-Marcos.#DuterteVisitsUPLB,,,,
79,HSHTG_BREAKFREE,"ITO PA! GLOBAL MOVEMENT ITO!!!#DuterteVisitsUPLB https://t.co/B9bEoQkaLY
annlessss, Duterte claims administration will sue him.#DuterteVisitsUPLB
ElleAquino, Du30 Du30!!! <U+270A> #DuterteVisitsUPLB https://t.co/l5sf5CjUKL
wielsonf, Yeah, right. Everything was corrected. /s #DuterteVisitsUPLB https://t.co/3WyfQ7uUn6
HSHTG_BREAKFREE,Kahit di man ibalita ito sa media", tayo ang magkakalat nito sa SOCIAL MEDIA!!! VICTORY! #DuterteVisitsUPLB https://t.co/fyla2KLkGl,,,
80,yyoni101, #DuterteVisitsUPLB https://t.co/tuDo1NkW2v,,,,
81,jamaco_, Talk about punctuality #DuterteVisitsUPLB,,,,
82,itsyvettefriend, #DuterteVisitsUPLB HAHAHA mej sayang ???,,,,
83,Cams_wan_kenobi, #DuterteVisitsUPLB <U+270A><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC> https://t.co/6R49lqbFlo,,,,
84,shanemndz, Earlier today #DuterteVisitsUPLB @ D.L. Umali Hall, UPLB https://t.co/3hfN3glULX,,,
85,noraiturn, Yes na yes na super duper mega YES! #DuterteVisitsUPLB #DuterteCayetano  https://t.co/TB6VPfpfh3,,,,
86,noraiturn, @KLPeroy @majoygrefaldo true. kahit tapos na ang campaign period, manalo, matalo, tatatak sayo ang ideologies nya. #DuterteVisitsUPLB,
87,noraiturn, @mitchybeetchy @letsefLaaaan Di ok sakin ang lateness pero I'll give him this one bcs our farmers deserve to be heard. #DuterteVisitsUPLB,,,,
88,jane_catamura, Ato ni bay #PHVoteDuterte #DuterteVisitsUPLB  https://t.co/S7cNlocV9h,,,,
89,UPFayth, Nakakatawa na talaga @ABSCBNNews . Bingo ka nanaman!! When will you ever learn?? #DuterteVisitsUPLB,,,,
90,UPFayth, Checking out @uplbperspective 's tweets re: #DuterteVisitsUPLB .Mej di kasi malinaw mga sinasabi nya kanina. Mga 3/4 lang nagets ko mga bhe.,,,,
91,noraiturn, @JENericdrug <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> May i ask how was your experience listening to him speak live? #DuterteVisitsUPLB,,,,
92,leahcru, Burning Duterte-haters to the ground with facts and logic feels really amazing! Duterte for the win! #DuterteVisitsUPLB #PHVoteDuterte <ed><U+00A0><U+00BD><ed><U+00B1><U+008A><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC>,,,,
93,leahcru, Some UPLB students were disappointed bcoz they were expecting grilled-like-binay moments. Nope! Haha! #DuterteVisitsUPLB #PHVoteDuterte <ed><U+00A0><U+00BD><ed><U+00B1><U+008A><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC>,,,,
94,rizzaaaaamae, #DuterteVisitsUPLB,,,,
95,fremsite, @Senyora @gmanews oo nga pucha mema lang mga panot na yan eh<ed><U+00A0><U+00BD><ed><U+00B8><U+00A1> tagal ng pangako yan..#DuterteVisitsUPLB,,,,
