124,UPLBConyos, Irresponsible journalism! <ed><U+00A0><U+00BD><ed><U+00B8><U+00A0><ed><U+00A0><U+00BD><ed><U+00B8><U+00A0><ed><U+00A0><U+00BD><ed><U+00B8><U+00A0> @rapplerdotcom #RapplerSaySorryToUPLB #RapplerSaySorryToStephenVillena #dontUPLB #UPLB https://t.co/4KVBT0rONB,,,
125,zylabonita, This is the OTHER SIDE of the story. Puro bash sa studyante eh. May mali din naman si Mayor. #UPLB https://t.co/yoZtKvDeIU,,,
126,iamredsalgado, anu na naman b ayung tungkol sa #UPLB student na yan. Lahat na lang???,,,
127,BromanceManila, Haters gonna hate. Be yourself and do whatever you want to do, life is so short, you only live once. #UPLB,
128,gregsroc, Hahahahahahhaha (@m00g33k) #UPLB https://t.co/LCBjjmW2vz,,,
129,thejoewah, Thank you for asking questions to a candidate, thank you for caring for our country. Thank you. Thank you, Stephen Villena. #UPLB,
130,BromanceManila, Kung minimum rate naman ang sweldo," huwag umeme ng """"Sayang tax namin sa inyo.""""", pati mga estudyante pa lang. Mga palaka! #UPLB,
131,iamdonibanez, At talagang issue pa sa inyo ang manners ah. How about your candidate's behavior? Talk about double standards. #UPLB,,,
132,badeth22, What if si Mar o Binay yun? Puro magagandang salita siguro maririnig ng #UPLB  students na ito. <ed><U+00A0><U+00BD><ed><U+00B8><U+0089><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #justsaying #lakasnidu30,,,
133,heckbrizuela, For the record, tagal ko nang nakafollow sa #uplb tag. Ngayon lang nabusy ng ganito kabusy yung column ko sa tweetdeck,,
134,missjover, A typical Duterte supporter.. #IStandWithStephenVillena #UPLB https://t.co/hHHx5cdRV1,,,
135,missjover, #UPLB  https://t.co/AyhZ6H31v5,,,
136,missjover, @razoldazol sobra and ginawan pa nila ng ganito. Nakakaawa ang bata. #IStandwithStephenVillena #UPLB https://t.co/JjIqoFpefF,,,
137,ro_junix," """"#Duterte vs """"UPLB-Man"""".Una sa lahat", utoy," the word should be """"compromised"""""," not """"compensate"""".#UPLB ako... https://t.co/gipJQNGyDW"
138,ChicChic0704, This rude #UPLB student obviously attended d forum 2 humiliate #DU30. He dserves d bashing. It's a tie!,,,
139,rhiajoseframos, Kung hindi  sya naghahanap ng guapo points at talino. E ano? Attention? Lol bigyan ng jacket si kuya! <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F> #UPLB,,,
140,coffeegurl1978, I Salute u young man! Ito ang totoong matapang#RoxasRobredo #UPLB #stephenvillena https://t.co/TL6KbhnmN5,,,
141,Kirbsuu, At the end of the day  , Proud pa rin ako na isa kong estudyante ng #UPLB :),,
142,missjover, @ihateposh luoy kaayo. Kay pati pic sa iyang mama ug papa ilang guiduwaan :( #UPLB,,,
143,rhiajoseframos, Gusto ko lang mag react sa isang student ng kilalang school na ito. Sana naturuan ka ng magulang mo na RUMESPETO sa nakakatanda sayo. #UPLB,,,
144,Mendozanity, Words are sharper than swords.Education before army! #uplb,,,
145,missjover, @rodmagaru di ba? tapos binastos pa nila picture niya pati picture ng friend at family niya? Nakakaawa #IStandWithStephenVillena #UPLB,,,
146,withersfork, I pity that #UPLB student. He committed a mistake, but we don't need to crucify him. Digong wasn't even slighted. Patawarin na.,,
147,jaengnozales, Desperation for change is NOT AN EXCUSE for you TO BULLY ANYONE ESP A KID. You are fckin ADULTS. STOP THE WITCH HUNTING #Duterte2016 #UPLB,,,
148,odspolihsonn, #UPLB Kindly teach that student of yours some GMRC lessons please. <ed><U+00A0><U+00BD><ed><U+00B8><U+0092>,,,
149,missjover, Grabe naman to! How can they control this kind of behavior? #UPLB #stopcyberbullying https://t.co/bEpiIWYnx6,,,
150,LeanderBarut, The supporters of the candidate who's platform is peace and order are the ones breaking the law (Republic Act No. 10627) The Irony! #UPLB,,,
151,MikeofNewYORK, @profmssyj @leahnavarro I suggest sending these threats vs a student of #UPLB directly to #pnp @pnppio and @CIDG_PNP for appropriate action,,,
152,dodongSANDRI, if you don't want to get ridiculed, stay away from them. ginisa sa sariling mantika eh. #Duterte #UPLB,,
153,IceLavilla, What is this world I'm living in? #UPLB  #dontUPLB,,,
154,mxinetan, Ang babaluktot mag-isip ng mga tao ngayon. #UPLB,,,
155,joyceinheels, All about #UPLB and #PHVoteDuterte  https://t.co/lABEFaF45N,,,
156,iamxander16, Pinakinggan ko ang content ng QnA sa #UPLB kay #Duterte2016  ...sinabihan ng edukasyon...its a stupid followup question.,,,
157,sephcham, Tigilan nyo na yung student sa #UPLB. #NoToBullying #NoToCyberBullying,,,
158,ShutangInaBeks, Yung eksenang so much hate for wanting to get a direct answer to a question. Also, can we stop labeling people based on their schools? #UPLB,,
159,missjover, Di ba? Nakakaawa ang bata. Traumatic sa kanya ang nangyayari. Duterte cannot control his supporters. #UPLB  https://t.co/y6y3l2sjTi,,,
160,primpaypon, Well, that rude but straightforward UPLB question revealed Duterte's lack of clear vision and platform. Good job, #UPLB! #PiliPinas2016,
161,niiaahaha, 'Wag po sana tayong mangkondena. Sino ba tayo para manghusga. Buksan ang isipan at matutong unawain ang kaganapan, open minded ba <ed><U+00A0><U+00BD><ed><U+00B8><U+0089> #UPLB,,
