tellexcope, gay president(?) kopiko duterte uplb student bagong mang kanor...yehey for my country
_kempop, UPLB student disrespect duterte <ed><U+00A0><U+00BC><ed><U+00BC><U+00B5>
meowryl, Ayoko na muna mag social media habang may maiinit pang issue about election e.g. Manny and LGBT, Duterte and UPLB student. Nakakastress eh.
itsbrynmn, Diretsahin na daw ni Duterte yung sagot nya kung saang bahagi ng National budget ibabawas yung pagupgrade, sa edukasyon daw ba? UPLB
RomeoFuerte, siya ung magiting na estudyante ng UPLB... na nagtanong kay DUTERTE kung kailan prioridad ang kapakanan ng mga... https://t.co/7g3GibjR2m
TheDailyPedia, Supporters of Duterte reportedly bullied and harassed Villena after the incident. https://t.co/kkFSDblVDr
itsbrynmn, Ang sagot naman ni Duterte eh, Nag-intro sya ng events about bombing sa cathedral and sa airport daw niya, kaya sumingit na si UPLB student
ato_mariano, Bringing the school in vain.... https://t.co/ufLYTK8NVd
kickerdaily, [Kicker Daily News] Former UPLB prof tells student who asked Duterte: You can stand up for your cause without beingﾅ https://t.co/TAtBvtfmOP
itsme_dewdrops, Base from the past interviews of Duterte, he basically can't answer a simple question without deviating the topic first to Davao. UPLB.
PINOYGlobal, [PS] UPLB student: No intention to disrespect Duterte: MANILA, Philippines ﾖ A University of the Philippines L... https://t.co/dkR40ORcfO
PinoySG, [PS] UPLB student: No intention to disrespect Duterte: MANILA, Philippines ﾖ A University of the Philippines L... https://t.co/vhHm7pzVAC
chenglyyn, @khloweepot same feels, the UPLB students welcomed Duterte. DL Umali hall to main lib ang pila yet inemphasize ng media ay yung kid
ajestrera, Parang yung student sa uplb na nag tatanong kay mayor duterte? #justsaying #donthate https://t.co/FoPa3zy3bi
manilachannel, VIRAL: Open letter from UPLB student Stephen Villena on Duterte incident: My name is Stephen Villena, a studen... https://t.co/omGkjKwZMU
JaimeAbellar, Too many people that's not Duterte are butthurt about this UPLB student lmao
allanabiabi2, Rude UPLB Student Who Slammed Mayor Duterte Was Allegedly Paid By Another Presidential Candidate!MUST READ! https://t.co/yDWsV5PT0e
barkadafm, Grabe :o Marami talaga sa kababayan natin ang nagbigay ng pahayag dahil sa pambabastos ng isang estudyante ng... https://t.co/1F5za7U2le
maria_ressa, Duterte to supporters: Be civil, intelligent, decent, compassionate - https://t.co/oAkDS7bT5M via @rapplerdotcom https://t.co/x7Jz30sD62
trendborg, VIRAL: Open letter from UPLB student Stephen Villena on Duterte incident  #viral
mysummitexpress, A certain supporter of Rody Duterte allegedly went to the extent of issuing a ""death threat"" to UPLB student... https://t.co/5ccmbuca1H
sherbonnciceron, Gusto ko Duterte pero natatakot ako sa maaring gawin ng supporters niya kapag nanalo siya.Natatakot akong... https://t.co/hVGi9iMopk
tetayzombie, Binay, then Duterte. These UPLB kids are fierce. I wish they'd host the next presidential debate.
HforHaru, problem with our youth today: #Respect =__=https://t.co/xphixP3ZYP
avemaria184, @ABSCBNNews theres nothing wrong with how uplb student  questioned Duterte.The fact is Du30 didnt answer clearly and direct to d question.
KabataanPL, Kabataan Partylist defends UPLB student for bringing up education issues before Duterte, asks candidates to raise... https://t.co/yQmjTouUHT
BalitaNgayon, UPLB student: No intention to disrespect Duterte https://t.co/MWoMqNNQu1 via ThePhilStar
itsbrynmn, according dun sa UPLB student, It is said na gahol na sa oras kaya pinapasagot na ng diretso kung OO o HINDI ba yung sagot ni Duterte...
itsbrynmn, I don't know if ung umiikot sa soc.med. from this UPLB student telling the truth behind the UPLB issue w/ Duterte is true, quite convincing.
jdesignz, UPLB student: No intent to disrespect Duterte https://t.co/VTnTcWukbP #Abs
jeejay70, uy totoo kaya ito? https://t.co/VkQX13I6V4
bicoltoday, AN OPEN LETTER: UPLB Student Stephen Villena in Duterte public forum explains - Read more at:... https://t.co/dAs1P0r9M5
TheManilaLink, BREAKING: UPLB student ﾑdisrespectfulﾒ to Duterte breaks silence https://t.co/zOk7f4rhBh https://t.co/kspkSX3GUa
joiegirl_, The issue re UPLB student and Duterte is blown out of proportion. I hope people stick to the issues.
