PHINews1,UP student: I meant no disrespect for #Duterte https://t.co/V7lebJG4lC | @AHeginaINQ #VotePH2016
Faustino_Hannah,kaya idol ko si duterte kasi nagpapakatotoo sya. nagmumurasya kasi nasanay eh. tapos d lahat ng trends sinusunod nya.
jayrcastillo24,Rabid Duterte supporters are at times worse than Marcos hardcore supporters.
PHINews1,#Duterte to rivals: Waive secrecy on bank accounts https://t.co/oKqeL59dbl | @Team_Inquirer #VotePH2016 https://t.co/qGh1HVn3sX
AlexGGGGGGGG,@Kuya_duterte @HugotPost Oo nga naman. May point ka. Hahaha :)
ABSCBNNewsLife,"WATCH: Duterte on latest SWS survey: 'O wala na, talo na' https://t.co/oikdBJmX4Z"
Lakaytacio,"Duterte sees Marcos as a ﾓheroﾔ, will allow burial at Libingan ng mga Bayani https://t.co/suTpDexGZi via @kickerdaily"
jakol_salsal,"Duterte's supporters will cause him the chance for Presidency. Lahat binubully nila. Name calling, messaging death threats to others. Tsk3!"
aprilangelaaa,@annacuasay @Kuya_duterte ayaw lang kitang nagmumukhang tanga kaaasa sa wala <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0098> labyuuu hahahahaha sa uste mo nga makikita si forever <U+2764><U+FE0F>
AntonioJuanIsHe,"For all you die-hard Duterte fans, chill. If want him to be the president, go. But dont degrade us if we dont want him to be the president."
elibajado,Sana si Duterte ang iboto ng mga Iglesia <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> hahaha.
PHINews1,UPLB student: No intention to disrespect Duterte https://t.co/tc0Dk4f3xO
KingSmashland,Hindi naman kasi pambabastos ang ginawa ng isang Isko kay Duterte e. <ed><U+00A0><U+00BD><ed><U+00B8><U+0092>
Faustino_Hannah,hanggang ngayon nagmumura na ako. pero d na ako sumosobra sa pagmumura kasi idol ko si duterte.
supericawaii,di ako maka-get over dun sa duterte � uplb student incident putangina
waynealbert,Viral: Aiza Seguerra's life-changing meeting with Duterte; writes honest opinion of the man -... https://t.co/6nee8BNSyL
cjamesdomingo,@Kuya_duterte lagi mo nalang sinasabi yan
airishbruce,bang duterte vs. UPLB student haha
