jfuntszz,Nag trend ang Bastos.  UPLB #Duterte https://t.co/Uea8Dgr9Di
UPLBOfficial,Dr. Fumio: UPLB has unique characteristics and high academic background.
orangeandbronze,"I posted 3 photos on Facebook in the album ""Career Talk at UPLB: February 22, 2016"" https://t.co/D1DdZsRfcE"
jadine_uplb,"Watch how UNDERDOGS rule in the end! <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA>

Modern Filipina Nadine"
RXRadio1,Hey you! Yes you! SOUND CITY is on with Chris and Alven + R1 Rica of UPLB! Join us @RX931 #IAmAMonster <U+2665> https://t.co/Orb7YwxqHG
MaybeRyanJoseph,15 years! <ed><U+00A0><U+00BC><ed><U+00BE><U+0089><ed><U+00A0><U+00BC><ed><U+00BE><U+0089><ed><U+00A0><U+00BC><ed><U+00BE><U+0089> @STP_UPLB https://t.co/lYgNHIedq8
WLJDIsabela,@jadine_uplb heeey! <ed><U+00A0><U+00BD><ed><U+00B9><U+008C><U+2764>
ninyabells1,@christiankokoy @shaunnloreto @claudiacalmona @rivaoh fuck you ang landi mo hindi sayo bagay mga sinusuot mo hindi bagay sa school ng UPLB
jadine_uplb,"Whatever the outcome, remember FAIR GAMR WELL PLAYED! Fair game well played! <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA>

Modern Filipina Nadine"
jadine_uplb,"I dunno about you but I'm feeling JAMES REID will get the SLIME DUNK this year!!! <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA>

Modern Filipina Nadine"
jadine_uplb,"Happy International Women's Day! <ed><U+00A0><U+00BD><ed><U+00B2><U+0085>

Let's get empowered by Modern Filipina Nadine! Be yourself, girl! Spread woman power!

Vote for NADINE"
jadine_uplb,Saan po yan????  https://t.co/VUWR93Z693
babsthebuilder,@JensenXFlips OMYGASH MGA BEH SEE YOU GALING KAMING LOS BANOS OKAY SEE YOU UPLB NAMAN SUNOD PLS MWAH
devcom,"[#Paper] Devcom Los Ba�os Style, https://t.co/wqrRE7UPux #devcom #uplb #NCQ #IWD2016"
UPLBOfficial,Photos from the PEZA - UPLB Registration Agreement Signing Ceremony. https://t.co/MMWmH4X94r
RozellaEspino,@uraynium di mo alam?? <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> palarong uplb kasi b3h hahaha
UPLBOfficial,#UPLB sa Halalan 2016 https://t.co/DVtNV5OhsO
UPLBOfficial,#UPLB sa Halalan 2016 https://t.co/JU27yYD5AG
jbpos,"I'm at UPLB University Library in Los Ba�os, Laguna https://t.co/ZE3Gc31dId"
highdih,"Here's to making a more exciting agriculture sector for our aspiring students, and for our committed farmers <U+2665>

https://t.co/eNVyAYw1m6"
UPLBOfficial,"The courtesy visit of Kyoto University Officials to the Office of the Chancellor, #UPLB. Kyoto University and the... https://t.co/l5Lv2CM5Af"
UPLBOfficial,PTFCF-funded metallophytes project joins First Philippine Environment Summit https://t.co/oDzqY5rgrg https://t.co/UGKTrXOIFs
icaaalanuza,"Watching white lady..
Me be like: Nakakamiss UPLB Campus..
Ay, shet. Lalakarin ko lang pala andun na ko. Hahahaha! <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>"
arijiayeni,So there are vines creeping in our lecture hall at UPLB. #halaman https://t.co/faLEAvHdiC
SeventhSeraph,"Kabahan ka na, #MarlouArizala <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>

#UPLB
#LowerACCI 
#Pinipig
#eMBeBeh @ ACCI Dormitory https://t.co/r84kqWRY0W"
UPLBOfficial,#UPLB CFNR participates in the Asia-Pacific Forestry Week 2016 https://t.co/TKlP4QMplW https://t.co/wD9gVvRG5J
UPLBOfficial,#UPLB CFNR participates in the Asia-Pacific Forestry Week 2016... https://t.co/S7u1kPfSJQ
mondimondi05,White Lady sa abscbn guysss go uplb! :)))
UPLBOfficial,#UPLB CFNR professors attend RTD on collaborative intﾒl graduate program offering https://t.co/Asx1Tg5y95 https://t.co/gF8KHadwQK
ABlessingToYou,Watching White Lady rn. This movie was shot here in UPLB. <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
UPLBOfficial,#UPLB CFNR professors attend RTD on collaborative intﾒl graduate program offering... https://t.co/JlLxgqJGxi
UPLBOfficial,"Everyone is invited to the Museum's next Biodiversity Seminar on ""Lessons Learned from Project Palaka"" by Norman... https://t.co/BOuS7ULShC"
aivyalcantara,"I'm at University of the Philippines Los Ba�os (UPLB) in Los Ba�os, Laguna https://t.co/FCdFZEOV5F"
jadine_uplb,We rolled up our sleeves and put away our beds last night for KCA. Now let's do the same for Nadine! <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA> https://t.co/sj2Ij9Yvrn
jadine_uplb,"Me too. WORK <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA>

ModernFilipinaNadine
Vote for NADINE https://t.co/SxvUGYKPJn"
highdih,"For updates on ongoing research on climate change, and other environmental issues, visit SESAM's website <U+2665>

https://t.co/5g4hWBoYdk"
siocnarfgc,@dzbb @ali_sotto nabalitaan nyo na ba Ito sa Lopez drive UPLB residents opposing road widening https://t.co/mSWf4GswI5
QuinCherryl,Beautiful day at UP. #uplb https://t.co/IirtpOjalY
mirage83,"Congrats, Sir. Pinakyaw nyo po ang awards! :D

- UPLB Graduate
- PMA Valedictorian
- Presidential Saber Awardee
-... https://t.co/Tpe7YNkFSe"
jadine_uplb,"Happy Anniversary @TeamBonfayah! We aim to be like you, to be one of you! <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA>

ModernFilipinaNadine
Vote for NADINE https://t.co/ZbdptaUcoP"
UPLBResearch,Happy International Women's Day #UPLB! Check out these activities from the  @UPLBGenderCtr @UPLBOfficial @upsystem https://t.co/7HMlhlEKJu
jadine_uplb,"Wow really with Rico Blanco? Napa- KILIG AKO nanaman yan si Nadine! <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B2><U+009C>

Vote for NADINE 
ModernFilipinaNadine https://t.co/t0vWgwl9CX"
UPLBResearch,Sharing some photos of the registration agreement signing ceremony which took place at the #UPLB CTTE conference... https://t.co/jkrv4cOoxE
jadine_uplb,"Voting James at KCA was my dinner and bed last mornight, today voting Nadine is my breakfast! 
Breakfast, anyone?

ModernFilipinaNadine"
Casketers,"I'm at UPLB Health Service (Infirmary) in Los Ba�os, Laguna https://t.co/SqafQKW4Jb"
jadine_uplb,"Let's vote! Nakayang ipanalo si James (claiming it here), piece of cake yang kay Nadine! 
Yes, I'm so positive!!!! <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA> https://t.co/Q2vCB9PKbx"
jadine_uplb,"Calling all JaDine fan accts from universities: We're done with KCA for James, now let's work on Myx for Nadine! <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA>
@jadine_ust @JaDinexUPD"
ekit_uplb,Isang mapulang pagbati sa lahat ng Kababaihan! #IWD2016
jadine_uplb,Let's vote for NADINE loves! THE Modern Filipina <ed><U+00A0><U+00BD><ed><U+00B2><U+009C> https://t.co/8y7IjJwHpf
TheAltPH,Catch #AlexCalleja this coming Thu Mar 10 at #UPLB &amp; other #ComedyManila #standupcomedians. https://t.co/Oa1mZ6Ii3b https://t.co/hfVRRzTSXX
jadine_uplb,"Good morning JaDineLand! 
""The three remain: faith, hope, and love. And the greatest here is love.""
Spread love everyone! James will win! <ed><U+00A0><U+00BD><ed><U+00B2><U+009C>"
jadine_uplb,We all want James' sexy body get slimed! <ed><U+00A0><U+00BD><ed><U+00B9><U+008C> https://t.co/eiWymoM2WV
PatchDhiren,"CAS HH 

#Awake #YFC #UPLB #CASHH https://t.co/kdwKh1hkYr"
JCSollorano,"Yesterday, the UPLB Sociology Society conducted a symposium entitled ""SUFF[E]RAGE: Theﾅ https://t.co/fRkgANhogw"
RenHu2,Makibaka Huwag Matakot! Just reminiscing my UPLB days!
jadine_uplb,We did!!! <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA> https://t.co/uCs6VeoOEd
jadine_uplb,"Let's consider it a slimy sign, Heneral <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA> https://t.co/c7m4JsPGsF"
jadine_uplb,"Aren't we leaving to Mars then to vote? No chill JaDines! <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA>

POWERVOTE FOR JAMES
#VoteJamesFPP #KCA https://t.co/eMvpybqXvC"
hellocharskie,@jadine_uplb @IrishDDizon huhuhuhu i cant vote naaa
jadine_uplb,Slimy James Reid at the KCA! Eeeewwww <ed><U+00A0><U+00BD><ed><U+00B2><U+009A><ed><U+00A0><U+00BD><ed><U+00B2><U+009A><ed><U+00A0><U+00BD><ed><U+00B2><U+009A>
jadine_uplb,"Its system generated so who knows, some MILLION votes might still slip! Leggo <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA>
#VoteJamesFPP #KCA https://t.co/CwvT4grVyV"
jadine_uplb,"Get ready, REID! God saw how we played this thing! He gives exactly what a man deserves! <ed><U+00A0><U+00BD><ed><U+00B2><U+009A> https://t.co/we6upGhZfy"
UPLBUSC,"As of March 7, 2016, Ivan Aguilar has been selected as the new Vice Chairperson of the UPLB University Student Council."
jadine_uplb,"POWERVOTE FOR JAMES here coz the site is crashing <ed><U+00A0><U+00BD><ed><U+00B8><U+0094>
#VoteJamesFPP #KCA https://t.co/PmEuduhbMz"
DeanYsagun,Ang sarap na sana dito sa UPLB. Kaso yung walang trabaho. <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>
jadine_uplb,"Are you ready to get slimed? Prepare for the great Hanash of your life (so far)! <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA>
#VoteJamesFPP #KCA https://t.co/EgAWqxriE2"
jadine_uplb,@thosectylights Hello there! This acct is new so does our humble little fan group. Please shoutout for JaDine fans abroad who are from UPLB!
jadine_uplb,"Hello @WLJDIsabela, I am from Isabela! Shoutout naman jan! <ed><U+00A0><U+00BD><ed><U+00B8><U+0086>
#VoteJamesFPP #KCA https://t.co/K1uqot2aJ8"
jadine_uplb,"We support a WINNER! Get slimed baby, get slimed! <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA>
#VoteJamesFPP #KCA https://t.co/1REVwwNiTp"
rakkiroad,"@charlenearkaina @cesabagat @hermilea @ayessadelapena Are ye all from UPLB? Follow @jadine_uplb. Hakot followers pls!
#VoteJamesFPP #KCA"
jadine_uplb,"No doubt who's gonna win if these are included in the criteria <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA>
#VoteJamesFPP #KCA https://t.co/R2xQGR1JaC"
jadine_uplb,"How many minutes left now?
POWERVOTE FOR JAMES
#VoteJamesFPP #KCA

We all know we did fight a good fight! WE AND JAMES deserve this win!!! <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA>"
nikko_oliver,"@beorvb Conceptual Development sa UPLB.  Yan eh sa may Likod ng Lib, dormitory. HAHAHA"
nikko_oliver,"Lord, bakit marami pong puno sa UPLB? Nahihirapan akong gawan ng model yung buong site. HAHAHAHAHAHA"
nootherrwiiaa,efleg guys in uplb called me.. huhu miss ko na pala sila <ed><U+00A0><U+00BD><ed><U+00B8><U+0085>
benzjbc,Just posted a photo @ UPLB Forestry https://t.co/j5gQV9u4Qn
jeantengsity,I wanna go to UPLB and hug you lol @rozelrazal <ed><U+00A0><U+00BD><ed><U+00B8><U+0089> Aawayin nalang pala kita since talo team mo haha
theRaMazing1,"Duterte in UPLB.
https://t.co/e1dYQGFKjG"
_genebro,STILL IN UPLB WOOOH @ LB SQUARE. WALWAL MODE IS THIS
marjmallooow,"UPLB <U+2665>

Watch ""UPLB 1000 Photos.m4v"" on @Vimeo https://t.co/UkKH4Md0cg"
eamcpns,Jghf UPLB <ed><U+00A0><U+00BD><ed><U+00B2><U+00A4>
BadePaigao,UPLB <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>
cheskahelene,@cheskahelene im not deleting the yes-o/UPLB thing though lol that is true af
cheskahelene,Wala daw pera para sa yes-o dahil naubos lahat sa UPLB. BAKA MAY BINIGAY SA MGA NAG UPLB HAHAHAHAHA DON'T ME
UPLBCEMSC,"[Palarong UPLB 2016: Red Griffins]

For questions, you may contact Nicole (0917 525 6050) or Maan (0917 896 1528).

#GoRedGriffins !!!"
bosscjamm008,"""@PatamaNiJuan: Namimiss mo siya pero wala kang magawa."" Im @ UPLB; Namimiss ko siya pero, wala na talaga akong magagawa. Huhuhuhu"
adrianetobias,Carrillion Tower. 03/05/2016 #UPLB #Elbi #ElbiNights https://t.co/qLgoGFH8HM
adrianetobias,30 sec. f/7.1 24mm ISO 250. 05/03/2016 #UPLB #Carillion #ElbiNights https://t.co/q51mwDEljH
ChiefMechAbs,"TB. highschool days. 
UPLB :D https://t.co/gRBQZPMUOt"
roilipardo,"@ooOanniOoo yes ma'am! naoobserve ko liwat didi ha am kay mayda ak UPLB, UPM, UPV na katrabaho"
TheAltPH,"Catch #RedOllero this coming Thu Mar 10 at #UPLB, and other #ComedyManila #standupcomedians. https://t.co/Oa1mZ6Ii3b https://t.co/5dxix6pFao"
izbaranova20816,"@UPLB_SChemES How to achieve inner happiness, the Law of Karma and problem solving: https://t.co/drrtOmcnMR"
kylalulay,Opening ng intrams then diretso UPLB for 3 dance perfomances then balik sa Letran para naman sa dance performance for Mr. &amp; Ms intrams <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B2><U+0083><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB>
PattyBodjie,"Whut happened: UPLB --&gt; Megamall --&gt; J's --&gt; R's --&gt; J's --&gt; Megamall --&gt; J's --&gt; Pansol-Calamba, Laguna --&gt; J's --&gt; I's --&gt; Home, Manila"
tonyocruz,"Bonded with cool, funny #sociosoc members. #uplb"
MS_Ramboanga,Still can't get over UPLB and the people I met there
ohohdarryl,"I really enjoyed my visit here at UPLB.. I promise, i'll be back. Huehue"
noproblelmo,Atlas moth worm @ UPLB Forestry https://t.co/rFfIYI7z2k
SAMUP_Official,"Ready to experience numbers in a different fashion?
The Society of Applied Mathematics of UPLB proudly announces... https://t.co/7S5dVfCBKl"
UPLB_SocioSoc,"View our newest Audio Visual Presentation in celebration of 41 years of Glorious existence!

Bounded by... https://t.co/FoNfFlmtIp"
hillaryjaneee,"found the letters i had received from maap, uplb and bu while sorting my old stuffs"
rhayperez3,@aldenrlchard02 @alafop saan po to papasok ng UPLB
aimeeoctaviano,Pupunta si Duterte sa UPLB sa Friday!
marvinolaes,@MikkoAngeles punta ka UPLB bukas and i'll give you the greatest time of your fucking life
PHHotTrends,A young entrepreneur from UPLB has found a way to weed out pests from rice and corn as easily as turning a handle. https://t.co/gxmYWq8edc
asshulz,"@s3agarbage my brain read it as ""a young entrepreneut from UPLB found weed"""
gmanews,A young entrepreneur from UPLB has found a way to weed out pests from rice and corn as easily as turning a handle. https://t.co/L85nizV2Zj
UPLB_SocioSoc,#HappeningNow Brod Tonyo Cruz giving his talk on the Euphemization of the 2016 National Elections
mirage83,This year's PMA valedictorian is a graduate of UPLB. Kristian Daeve Gelacio Abiqui will receive the Presidential... https://t.co/0Zx3u3QNXE
vampvikinggirl,After 5 years! #collegefriends #uplb #friends #mayforever #reunion @ Starbucks Philippines https://t.co/ZSbJFVwpMV
Patstarfishhh,Library series [3/3] @ UPLB Forestry https://t.co/Ut4RKu7qsw
Patstarfishhh,Library series <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> [3/3] @ UPLB Forestry https://t.co/S0wCKd5U5i
chiakentz,"UPLB naman lagi eh, suki na ng mga militar yan, siyempre, nasa Timog Katagalugan eh. Diyan sila nagbe-breed."
chiakentz,Nakakabahala yung nabasa ko sa Kule regarding sa pagsampa ng reklamo ng mga professors re: student protests sa UPLB.
andralymorales,ATM: UPLB mainlib #imissed ;)
joannagitera,Natayo natin ang bandera ng UPLB @kqsato!!! <ed><U+00A0><U+00BD><ed><U+00B8><U+0084><ed><U+00A0><U+00BD><ed><U+00B8><U+0084> #REB https://t.co/MSPEXsYarU
devcom,"[#Publication] Scientistsﾒ use of social media: The case of researchers at UPLB, https://t.co/RrKg0r3bhZ #devcom #research #uplb"
janessabinoya__,Hanapin si Oble. #uplb #elbi #oblation #oble #opark @ UPLB Oblation Park https://t.co/ZkBAAIsUiT
kattauza,ATM. Dev Comm Tour #Roadtrip #TeamTulogSaBus #UPLB #Tagaytay
dokidokimaru23,fertility tree #UPLB https://t.co/SKINhuGYbK
aprylledonna,"What might have happened if I decided to study in UPLB, then transferred to Diliman? Hmmm..."
UPLBCEATSC,"LET'S! GO! CEAT!
CALLING ALL CEAT PALARONG UPLB Players https://t.co/UJHWpTXT0c"
UPLBCEMSC,"[Palarong UPLB 2016: Red Griffins - Basketball &amp; Volleyball]

Makiling Subdivision Court has been reserved for... https://t.co/dKzp7ydFmK"
PhilLiDAR_UPLB,"Flow Data Gathering using Mechanical Flow Meter and Depth Gauge at Bacungan Bridge, Puerto Princesa, Palawan."
VGoDongHae,"Sponge Cola - Kay Tagal Kitang Hinintay https://t.co/sGG200MeF2 via @YouTube||

 Para sa 1 month stipend na hirap irelease ng UPLB."
gracie_grace15,"UPLB?! woooohooo!!! 
#ALDUBSwakNaSwak  https://t.co/JDj4nhbbql"
Gertrud02688993,"Maiba! Si mackie from UPLB. <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>

#ALDUBSwakNaSwak"
preppyRENZ,"top 3 in PH ang UPLB
(well UPM and DLSU-M are the first two)"
kristeltejano_,"Just posted a photo @ Old Humanities Building, Uplb https://t.co/SS8v8dX2gb"
dzIQ990,Bio-technology project sa UPLB susuportahan ni Sen. Bongbong Marcos - DZIQ Radyo Inquirer 990AM https://t.co/n3oRrnCiGM | @jongmanlapaz
SeventhSeraph,"Igado and Mechado!!! Thanks Mom!  <ed><U+00A0><U+00BD><ed><U+00B8><U+0084><ed><U+00A0><U+00BC><ed><U+00BD><U+00B4>

#UPLB
#LowerACCI 
#DormLife
#FoodTrip 
#FoodPorn @ ACCIﾅ https://t.co/Sz7xPmIWbk"
madigeronimo,Sooo I just saw UPLB in Bloomberg PH and it made me want to go there right now. Huhuhu. I miss you elbi
preppyRENZ,Good Friday for Duterte i mean oops shall be the next Binay. Sana lang be fair UPLB
tonyocruz,"Touchdown, UPLB!"
jerembutido,"I'm at Catalan Compound, UPLB in Batong Malake, Los Ba�os, Laguna https://t.co/eLvqWR2Yoy"
Casketers,"I'm at Edwin Bingham Copeland Gym (UPLB Copeland Centennial Gymnasium) in Los Ba�os, Laguna https://t.co/Y0D1WUqdqp https://t.co/kj9zDvsJod"
mjrobin21,@champluipio boss punta ka naman UPLB. :D
UPLB_SChemES,"Happy Birthday Sir Rex B. Demafelis!
Thank you for being so supportive to UPLB SChemES! :)) https://t.co/jjCrB4Xs6e"
UPLBResearch,The new RDE Digest is finally out! It was released last Friday during the 107th #UPLB Foundation Day Celebration.... https://t.co/kyXU6YJCrn
winkyannicks,@ToniTomates @jadine_uplb Nice haha
ToniTomates,@winkyannicks @jadine_uplb JaDine Soc daw ahahaha
winkyannicks,@ToniTomates @jadine_uplb WOW HAHA
ToniTomates,@mariannemallows BEBS LOOK HAHAHA ----&gt; @jadine_uplb
_tapsilog,Napanaginipan kong may gig sa UPLB yung Ourselves the Elves tapos ako raw PA nila sa mga gig nila
UPLBCEMSC,"[Palarong UPLB 2016: Red Griffins - Cheerdance]

CEM &amp; CDC cheerdance participants are requested for a meeting... https://t.co/jOFM1poAWh"
nothingbitchKJ,"Let's try it one more time, UPLB <ed><U+00A0><U+00BD><ed><U+00B2><U+009A><U+2764><U+FE0F>"
ToniTomates,"@winkyannicks LOOK ----&gt; @jadine_uplb 

#VoteJamesFPP #KCA"
UPLBOfficial,"Pelikultura 2016: exploring the CALABARZON film scene 
https://t.co/qbZmqS5oeV https://t.co/8ydVMUHqdW"
UPLBGenderCtr,The UPLB Gender Center joins the nation in celebrating the National Women's Month with the following activities.... https://t.co/pXCuoScr4n
SaiChaotic,@comedycartel UPLB soon? :)
ravraveraven,Let yourself grow unbounded #nature #trees @ UPLB Campus https://t.co/GIIJRI8Zfl
dizonjeunice,"""@JaDineNATION: Follow these amazing accounts:
UST: @jadine_ust 
UPD: @JaDinexUPD 
UPLB: @jadine_uplb 

#VoteJamesFPP #KCA"""
ParokyaNiMecMec,"Gusto kong sumali sa palarong UPLB! Kaso bawal pa akong maglaro ng volleyball. Cheer dance kaya?

#injured
#sawi"
mikaelamae828,kuya @ptrcktndr mahahandle mo to sa future wahahaha <U+27A1><U+27A1> @jadine_uplb #votejamesfpp #kca
jdlustreidlove,"UPLB FRIENDS GAWA NA TAYO ORG HAHAHAHA UPLB JADINESOC LOL

POWERVOTE FOR JAMES
REIDY TO WIN
#VoteJamesFPP #KCA"
wdymhayme,"NATAWA AKO SA BAKA ORG NA DAW YUNG JADINE UPLB HAHAHAHAHA HUTA SASALI AKO

POWERVOTE FOR JAMES 
#VoteJamesFPP #KCA"
jdlustreidlove,@wdymnadine @wdymhayme @jadine_uplb OMGGGG #VoteJamesFPP #KCA
JaDineNATION,"Follow these amazing accounts:
UST: @jadine_ust 
UPD: @JaDinexUPD 
UPLB: @jadine_uplb 

#VoteJamesFPP #KCA"
uplbovcca,VC Jamias introduces keynote speaker at awarding ceremony for #UPLB's outstanding personnel https://t.co/DVBSUkKNw6 https://t.co/8Jj3gsg5CY
wdymhayme,"Tuwang tuwa/tawang tawa ako sa JaDine UPLB na account. Huhuhu. Damay damay na to peeps!

#VoteJamesFPP #KCA"
wdymhayme,"OMG. OMG. OMG. @jadine_uplb 

#VoteJamesFPP #KCA"
wdymnadine,"Friends nakikita ko na ang future @wdymhayme @jdlustreidlove <U+27A1><U+27A1><U+27A1> @jadine_uplb 

#VoteJamesFPP #KCA"
uplbovcca,"OHSSC Chair Garry Montemayor, #UPLB's OTA for SocSci, with VC Jamias and AVC Cuaresma https://t.co/DD02cZSP7s https://t.co/18zlYgpRsi"
MrFreeRadical,I'm at UPLB Animal Biology Research Lab https://t.co/xOw073GTV7
JudeBacalso,"Caught myself saying ""la-ang"" instead of ""lang"".

Elbi, isdatchu calling? C"",)

#UPLB"
matthewprieto,sana may portal nalang sa bahay papuntang uplb nakakatamad bumyahe huhu
ohohdarryl,@ UPLB..
pinaymomspeaks,"Retweeted Kimmy Baraoidan (@KimmyBaraoidan):

The public is invited. #Duterte2016 #Duterte #UPLB #LB #elbi... https://t.co/LGJgxYmh6D"
iAMJusay,Tryout na mamaya for palarong uplb woah
chrstnmoriah,"Taga-like na lang ako ng mga profile pic, huhu, but ang QT ng concept... labyu @STP_UPLB! <U+2764><U+2764><U+2764><U+2764>"
_genebro,omw to uplb :)
chadxrivera,saan kaya yung food science sa uplb? Tengne
chadxrivera,otw uplb
unhidingtricia,"Follow @jadine_uplb . JaDine fans in UPLB, my alma mater. Hope to meet you guys!"
jadine_uplb,"Ahaha! No, we represent JaDine fans for our campus! Spread us, spread JaDine love!<ed><U+00A0><U+00BD><ed><U+00B2><U+009C>

REIDY TO WIN
#VoteJamesFPP #KCA https://t.co/vvLNSUv6bc"
jadine_uplb,"Hello hello Tigers!!! 

REIDY TO WIN
#VoteJamesFPP #KCA https://t.co/eAXjbm5Usl"
KimmyBaraoidan,The public is invited. #Duterte2016 #Duterte #UPLB #LB #elbi https://t.co/TcCa7szzNz
MaybeRyanJoseph,"Oo na, sige na. Maganda ka na @UPLBOfficial #UPLB https://t.co/nKNPDAf948"
jadine_uplb,"We got this! <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA>

REIDY TO WIN
#VoteJamesFPP #KCA https://t.co/VD7uwb38gS"
jadine_uplb,"Good morning JaDines! Let's vote sa site before going to work/ school. Spread love <ed><U+00A0><U+00BD><ed><U+00B2><U+009C>

REIDY TO WIN
#VoteJamesFPP #KCA"
ohohdarryl,Uplb later...
msp_pad,"@chirpstory @M4ngU5il S3 dulu, bekerja 30 tahun di dalam sistim Republik, baru komen! Monty, Ph.D (1991, UPLB, the Philippines), asbun kamu!"
unhidingtricia,"From UPLB here. Baka mamaya org na kayo diyan ha @jadine_uplb 

REIDY TO WIN
#VoteJamesFPP #KCA"
ddl_mamaella,@ughlexisreid @jadine_ust @JaDinexUPD @jadine_uplb wow! #VoteJamesFPP #KCA
UPLBCASSC,https://t.co/tf7QzRmtZM
jane_laperap,@ughlexisreid @jadine_ust @JaDinexUPD @jadine_uplb  walang tulugan team lebanon #VoteJamesFPP#KCA https://t.co/N9asTFlMIu
fangirlhekate,"May UPD at UPLB aba nasan ang mga kauri kong zombie from UPM?

REIDY TO WIN
#VoteJamesFPP #KCA https://t.co/Zv3gSc8kg4"
ughlexisreid,"@x_snowflakes @jadine_ust @JaDinexUPD @jadine_uplb Gora po! HAHAHAHA

REIDY TO WIN
#VoteJamesFPP #KCA"
jadine_ust,"@JaDinexUPD @jadine_uplb Okay nakakatuwa 'to omg HAHAHAHA

REIDY TO WIN
#VoteJamesFPP #KCA"
ughlexisreid,"@fangirlhekate @jadine_ust @JaDinexUPD @jadine_uplb It feels liberating! Hahaha!

REIDY TO WIN
#VoteJamesFPP #KCA"
JaDinexUPD,"@jadine_ust @jadine_uplb Hello! :)

REIDY TO WIN
#VoteJamesFPP #KCA"
jadine_ust,"Hellooo Isko friends!!! @JaDinexUPD @jadine_uplb 

REIDY TO WIN
#VoteJamesFPP #KCA"
Paola_illpay,@guyamaryjoy @pizza_chizza  may jadine uplb na twitter acct HAHAHA tara gawa na tayo jadine upm <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
ughlexisreid,"JaDines university chaps:

UST <ed><U+00A0><U+00BD><ed><U+00B1><U+0089> @jadine_ust 
UPD <ed><U+00A0><U+00BD><ed><U+00B1><U+0089> @JaDinexUPD 
UPLB <ed><U+00A0><U+00BD><ed><U+00B1><U+0089> @jadine_uplb 

Ang taray oh <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>

REIDY TO WIN
#VoteJamesFPP #KCA"
jadine_uplb,"You should grab one sometime, they're more than just a love story! 

REIDY TO WIN
#VoteJamesFPP #KCA https://t.co/OcdEHUOWIl"
jadine_uplb,"I'm sure someone screenshot the tweets! <ed><U+00A0><U+00BD><ed><U+00B2><U+0085>
You REIDY TO WIN?
#VoteJamesFPP #KCA https://t.co/dCpxopSfMl"
jadine_uplb,"Victory is the absence of defeat! Let's go fight our battle! 

REIDY TO WIN
#VoteJamesFPP #KCA"
jadine_uplb,"Are you REIDY TO WIN now Heneral? Lol! 
Well, the devil must be wearing a Prada now!
#VoteJamesFPP #KCA https://t.co/vyJM7XZtza"
MatsuKari,Gusto ko yung may Jadine UPLB and UPD Twitter accts na. Hahaha. At genius yung idea ng Jadine ACLE. Kalurks
jadine_uplb,@jadineloveydove Aww. We'll let you know nlng til we establish this acct na! We'll let others handle also. Rotation ganon. Thanks for the <ed><U+00A0><U+00BD><ed><U+00B2><U+009C>
jadine_uplb,"We know we all did our part for tonight. Just before you sleep, pray for James to win! That's more than a Million votes!
#VoteJamesFPP #KCA"
jadine_uplb,"@JaDinexUPD That's why we made this acct as well! Go team UP! Naiwanan na ako mag isa sa acct. Lols! 

REIDY TO WIN 
#VoteJamesFPP #KCA"
