jfuntszz,Nag trend ang Bastos.  UPLB #Duterte https://t.co/Uea8Dgr9Di
IAMRGNF,UPLB Protection Squad <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
dyosanna_,Sikat na naman ang UPLB dahil sa bash. <ed><U+00A0><U+00BD><ed><U+00B8><U+0091><ed><U+00A0><U+00BD><ed><U+00B8><U+0091><ed><U+00A0><U+00BD><ed><U+00B8><U+0091>
hyacinth_aubrey,"Aanhin ang katalinohan kung arogante, bastos at mayabang. Buti pa si Carrot Man kahit High School lang pero wagas naman kung gumalang. #UPLB"
juncobalmeo,"Come on! We all know that UPLB student got way too arrogant. So what? He should be dead for that? If #Duterte handled him calmly, why cant u"
dearestdaryl,"[korina sanchez' voice] isang dormitoryo sa UPLB, pugad, raw, diumano ng mga demonyo [intro scary music] [low-budget pagsasadula in sepia]"
itoced,Many are educated but few are well mannered. #UPLB
fun2Bjary,here's the truth behind the UPLB and Duterte incident https://t.co/N8LoZU0DLe #ABSCBNLOSTCAUSE
Zanderyael1,This UPLB student is an idiot . if duterte wins . its a big slap on your face ! UPLB MONKEY
maryrainman,1 of d reasons kaya gusto natin si du30 ay dahil ayaw natin ng krimen but yung ibang supprters kung makapagthreat dun sa uplb student ang oa
Michaeldaavss,Hahaha qt pinaguusapan yung student from uplb
Tiantiaaaaaan,Next time si Mar Roxas naman ipadala niyo sa UPLB! <ed><U+00A0><U+00BD><ed><U+00B8><U+008F>
IceLavilla,Bakit yung buong UPLB yung pinag-uusapan tho? Such generalizations.
MkLuwal,I thought upLB was a school.
anniesthesiaaaa,"Gusto lang masagot nang direct nung UPLB student yung tanong niya kay Duterte, rude na ba yon? Hays"
camillegalope,@angeligalope hahahaha as in ses! Akong feed napuno ug video atong q&amp;a sa tga UPLB.
myelski,"""""shet!!! trending ang uplb wooh pr0uD 2 be isk0"""""
ABETyouknowme,Educated but not well mannered. @VillenaStephen kahihiyan sa UPLB at sa magulang niya.
marcrimon,That UPLB student is like the fly you can never catch; annoying.
certifiedsonny,labasan ang mga #duterte supporters ah. bash nyo yung uplb student stephen villena na nagtanong kay duterte.
coconalang,UPLB all over mah timeline
kkktine,here comes the bandwagon effect in the UPLB issue.
crcmarquezmd,"The stupid and arrogant boy from UPLB was not able to handle the consequences of his stupidity, deactivated his... https://t.co/sjXkGMTjfx"
BinsentL,"Dad: ""What's your stand againts the UPLB issue?""
Me: ""you might wanna sit down"" <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>"
whatshouldisay_,"To that rude &amp; arrogant UPLB student na nagtanong kay Duterte: 
Good luck na lang sa buhay, boy. Ganyan talaga kapag akala mo kung sino ka."
dearestdaryl,"ABSCBN HEADLINE: UPLB CommArts Student ""chill AF"" during his well week; says Kopiko 78ﾰc ""saved his life"". bit.ly666ulol"
lykaaaaaaaa_,Ba yan <ed><U+00A0><U+00BD><ed><U+00B8><U+008F> Gustong gusto ko nga bumalik ng UPLB e <ed><U+00A0><U+00BD><ed><U+00B8><U+008F>
jppenuliar,"May mali naman talaga si Isko, hala pero naman, hindi sasalamin sa 15,000 na populasyon ng UPLB ang sampling size na n=1. <ed><U+00A0><U+00BD><ed><U+00B9><U+0084>"
hyacinth_aubrey,Ganito kaming mga supporters ni Duterte kasi dito sa Mindanao nirerespeto at mahal yan si Mayor tapos ginaganyan ganyan lng ninyo? #UPLB
kstansarang,UPLB. breeding ground for activists and leftist.
SefTerencio,fuck that UPLB guy. Fuck him and his parents. Lol
iamvanessaaa,Natatawa ako sa sagot ni Duterte dun sa uplb student bomba na lang daw buset hahahaha <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
clintzoned,trending ang UPLB. ang cute
MajhoyNueva,Ang kapal ng mukha ng isang estudyante ng UPLB para bastusin c mayor duterte.. Nakakahiya ka.. D marunong rumespeto
JysnMnl,Seriously? UPLB student -_-
HaroldJayR,Kung si Binay to g ingn ato sa UPLB. Sure ko daghan naas side sa student. Respect lang unta sa tanan candidates <ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B1><U+008D>
